"","Site.recode","Site.Description","Histology","Histology.Description","Histology.Behavior","Histology.Behavior.Description","Histology.Behavior.Four"
"20","C000-C006,C008-C009","LIP",803,"GIANT & SPINDLE CELL CARCINOMA","8033/3","Pseudosarcomatous carcinoma","8033"
"21","C000-C006,C008-C009","LIP",803,"GIANT & SPINDLE CELL CARCINOMA","8034/3","Polygonal cell carcinoma","8034"
"22","C000-C006,C008-C009","LIP",803,"GIANT & SPINDLE CELL CARCINOMA","8035/3","Carcinoma with osteoclast-like giant cells","8035"
"23","C000-C006,C008-C009","LIP",805,"PAPILLARY CARCINOMA, NOS","8050/2","Papillary carcinoma in situ","8050"
"24","C000-C006,C008-C009","LIP",805,"PAPILLARY CARCINOMA, NOS","8050/3","Papillary carcinoma, NOS","8050"
"25","C000-C006,C008-C009","LIP",805,"PAPILLARY CARCINOMA, NOS","8051/3","Verrucous carcinoma, NOS","8051"
"26","C000-C006,C008-C009","LIP",805,"PAPILLARY CARCINOMA, NOS","8052/2","Papillary squamous cell carcinoma, non-invasive","8052"
"27","C000-C006,C008-C009","LIP",805,"PAPILLARY CARCINOMA, NOS","8052/3","Papillary squamous cell carcinoma","8052"
"28","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8070/2","Squamous cell carcinoma in situ, NOS","8070"
"29","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8070/3","Squamous cell carcinoma, NOS","8070"
"30","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8071/3","Sq. cell carcinoma, keratinizing, NOS","8071"
"31","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8072/3","Sq. cell carcinoma, lg. cell, non-ker.","8072"
"32","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8073/3","Sq. cell carcinoma, sm. cell, non-ker.","8073"
"33","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8074/3","Sq. cell carcinoma, spindle cell","8074"
"34","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8075/3","Squamous cell carcinoma, adenoid","8075"
"35","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8076/2","Sq. cell carc. in situ with question. stromal invas.","8076"
"36","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8076/3","Sq. cell carcinoma, micro-invasive","8076"
"37","C000-C006,C008-C009","LIP",807,"SQUAMOUS CELL CARCINOMA, NOS","8078/3","Squamous cell carcinoma with horn formation","8078"
"38","C000-C006,C008-C009","LIP",808,"LYMPHOEPITHELIAL CARCINOMA","8081/2","Bowen disease","8081"
"39","C000-C006,C008-C009","LIP",808,"LYMPHOEPITHELIAL CARCINOMA","8082/3","Lymphoepithelial carcinoma","8082"
"40","C000-C006,C008-C009","LIP",808,"LYMPHOEPITHELIAL CARCINOMA","8083/3","Basaloid squamous cell carcinoma","8083"
"41","C000-C006,C008-C009","LIP",808,"LYMPHOEPITHELIAL CARCINOMA","8084/3","Squamous cell carcinoma, clear cell type","8084"
"42","C000-C006,C008-C009","LIP",814,"ADENOCARCINOMA, NOS","8140/2","Adenocarcinoma in situ","8140"
"43","C000-C006,C008-C009","LIP",814,"ADENOCARCINOMA, NOS","8140/3","Adenocarcinoma, NOS","8140"
"44","C000-C006,C008-C009","LIP",814,"ADENOCARCINOMA, NOS","8141/3","Scirrhous adenocarcinoma","8141"
"45","C000-C006,C008-C009","LIP",814,"ADENOCARCINOMA, NOS","8143/3","Superficial spreading adenocarcinoma","8143"
"46","C000-C006,C008-C009","LIP",814,"ADENOCARCINOMA, NOS","8147/3","Basal cell adenocarcinoma","8147"
"47","C000-C006,C008-C009","LIP",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8200/3","Adenoid cystic carcinoma","8200"
"48","C000-C006,C008-C009","LIP",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/2","Cribriform carcinoma in situ","8201"
"49","C000-C006,C008-C009","LIP",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/3","Cribriform carcinoma","8201"
"50","C000-C006,C008-C009","LIP",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8255/3","Adenocarcinoma with mixed subtypes","8255"
"51","C000-C006,C008-C009","LIP",826,"PAPILLARY ADENOCARCINOMA, NOS","8260/3","Papillary adenocarcinoma, NOS","8260"
"52","C000-C006,C008-C009","LIP",826,"PAPILLARY ADENOCARCINOMA, NOS","8261/2","Adenocarcinoma in situ in villous adenoma","8261"
"53","C000-C006,C008-C009","LIP",826,"PAPILLARY ADENOCARCINOMA, NOS","8261/3","Adenocarcinoma in villous adenoma","8261"
"54","C000-C006,C008-C009","LIP",826,"PAPILLARY ADENOCARCINOMA, NOS","8262/3","Villous adenocarcinoma","8262"
"55","C000-C006,C008-C009","LIP",826,"PAPILLARY ADENOCARCINOMA, NOS","8263/2","Adenocarcinoma in situ in tubulovillous adenoma","8263"
"56","C000-C006,C008-C009","LIP",826,"PAPILLARY ADENOCARCINOMA, NOS","8263/3","Adenocarcinoma in tubulovillous adenoma","8263"
"57","C000-C006,C008-C009","LIP",843,"MUCOEPIDERMOID CARCINOMA","8430/3","Mucoepidermoid carcinoma","8430"
"58","C000-C006,C008-C009","LIP",848,"MUCINOUS ADENOCARCINOMA","8480/3","Mucinous adenocarcinoma","8480"
"59","C000-C006,C008-C009","LIP",848,"MUCINOUS ADENOCARCINOMA","8481/3","Mucin-producing adenocarcinoma","8481"
"60","C000-C006,C008-C009","LIP",872,"NEVI & MELANOMAS","8720/2","Melanoma in situ","8720"
"61","C000-C006,C008-C009","LIP",872,"NEVI & MELANOMAS","8720/3","Malignant melanoma, NOS","8720"
"62","C000-C006,C008-C009","LIP",872,"NEVI & MELANOMAS","8721/3","Nodular melanoma","8721"
"63","C000-C006,C008-C009","LIP",872,"NEVI & MELANOMAS","8722/3","Balloon cell melanoma","8722"
"64","C000-C006,C008-C009","LIP",872,"NEVI & MELANOMAS","8723/3","Malignant melanoma, regressing","8723"
"65","C000-C006,C008-C009","LIP",873,"AMELANOTIC MELANOMA","8730/3","Amelanotic melanoma","8730"
"66","C000-C006,C008-C009","LIP",874,"MAL. MEL. IN JUNCT. NEVUS","8743/3","Superficial spreading melanoma","8743"
"67","C000-C006,C008-C009","LIP",874,"MAL. MEL. IN JUNCT. NEVUS","8745/3","Desmoplastic melanoma, malignant","8745"
"68","C000-C006,C008-C009","LIP",874,"MAL. MEL. IN JUNCT. NEVUS","8746/3","Mucosal lentiginous melanoma","8746"
"69","C000-C006,C008-C009","LIP",877,"EPITHELIOID CELL MELANOMA","8770/3","Mixed epithel. & spindle cell melanoma","8770"
"70","C000-C006,C008-C009","LIP",877,"EPITHELIOID CELL MELANOMA","8771/3","Epithelioid cell melanoma","8771"
"71","C000-C006,C008-C009","LIP",877,"EPITHELIOID CELL MELANOMA","8772/3","Spindle cell melanoma, NOS","8772"
"72","C000-C006,C008-C009","LIP",894,"MIXED TUMOR, MALIGNANT, NOS","8940/3","Mixed tumor, malignant, NOS","8940"
"73","C000-C006,C008-C009","LIP",894,"MIXED TUMOR, MALIGNANT, NOS","8941/3","Carcinoma in pleomorphic adenoma","8941"
"74","C000-C006,C008-C009","LIP",914,"KAPOSI SARCOMA","9140/3","Kaposi sarcoma","9140"
"75","C000-C006,C008-C009","LIP",969,"FOLLIC. & MARGINAL LYMPH, NOS","9699/3","Marginal zone B-cell lymphoma, NOS","9699"
"76","C000-C006,C008-C009","LIP",982,"LYMPHOID LEUKEMIA, NOS","9823/3","Chronic lymphocytic leukemia/small lymphocytic lymphoma","9823"
"77","C019-C024,C028-C029","TONGUE",800,"NEOPLASM","8000/3","Neoplasm, malignant","8000"
"78","C019-C024,C028-C029","TONGUE",800,"NEOPLASM","8001/3","Tumor cells, malignant","8001"
"79","C019-C024,C028-C029","TONGUE",800,"NEOPLASM","8002/3","Malignant tumor, small cell type","8002"
"80","C019-C024,C028-C029","TONGUE",800,"NEOPLASM","8003/3","Malignant tumor, giant cell type","8003"
"81","C019-C024,C028-C029","TONGUE",800,"NEOPLASM","8004/3","Malignant tumor, spindle cell type","8004"
"82","C019-C024,C028-C029","TONGUE",800,"NEOPLASM","8005/3","Malignant tumor, clear cell type","8005"
"83","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8010/2","Carcinoma in situ, NOS","8010"
"84","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8010/3","Carcinoma, NOS","8010"
"85","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8011/3","Epithelioma, malignant","8011"
"86","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8012/3","Large cell carcinoma, NOS","8012"
"87","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8013/3","Large cell neuroendocrine carcinoma","8013"
"88","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8014/3","Large cell carcinoma with rhabdoid phenotype","8014"
"89","C019-C024,C028-C029","TONGUE",801,"CARCINOMA, NOS","8015/3","Glassy cell carcinoma","8015"
"90","C019-C024,C028-C029","TONGUE",802,"CARCINOMA, UNDIFF., NOS","8020/3","Carcinoma, undifferentiated type, NOS","8020"
"91","C019-C024,C028-C029","TONGUE",802,"CARCINOMA, UNDIFF., NOS","8021/3","Carcinoma, anaplastic type, NOS","8021"
"92","C019-C024,C028-C029","TONGUE",802,"CARCINOMA, UNDIFF., NOS","8022/3","Pleomorphic carcinoma","8022"
"93","C019-C024,C028-C029","TONGUE",803,"GIANT & SPINDLE CELL CARCINOMA","8030/3","Giant cell and spindle cell carcinoma","8030"
"94","C019-C024,C028-C029","TONGUE",803,"GIANT & SPINDLE CELL CARCINOMA","8031/3","Giant cell carcinoma","8031"
"95","C019-C024,C028-C029","TONGUE",803,"GIANT & SPINDLE CELL CARCINOMA","8032/3","Spindle cell carcinoma","8032"
"96","C019-C024,C028-C029","TONGUE",803,"GIANT & SPINDLE CELL CARCINOMA","8033/3","Pseudosarcomatous carcinoma","8033"
"97","C019-C024,C028-C029","TONGUE",803,"GIANT & SPINDLE CELL CARCINOMA","8034/3","Polygonal cell carcinoma","8034"
"98","C019-C024,C028-C029","TONGUE",803,"GIANT & SPINDLE CELL CARCINOMA","8035/3","Carcinoma with osteoclast-like giant cells","8035"
"99","C019-C024,C028-C029","TONGUE",805,"PAPILLARY CARCINOMA, NOS","8050/2","Papillary carcinoma in situ","8050"
"100","C019-C024,C028-C029","TONGUE",805,"PAPILLARY CARCINOMA, NOS","8050/3","Papillary carcinoma, NOS","8050"
"101","C019-C024,C028-C029","TONGUE",805,"PAPILLARY CARCINOMA, NOS","8051/3","Verrucous carcinoma, NOS","8051"
"102","C019-C024,C028-C029","TONGUE",805,"PAPILLARY CARCINOMA, NOS","8052/2","Papillary squamous cell carcinoma, non-invasive","8052"
"103","C019-C024,C028-C029","TONGUE",805,"PAPILLARY CARCINOMA, NOS","8052/3","Papillary squamous cell carcinoma","8052"
"104","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8070/2","Squamous cell carcinoma in situ, NOS","8070"
"105","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8070/3","Squamous cell carcinoma, NOS","8070"
"106","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8071/3","Sq. cell carcinoma, keratinizing, NOS","8071"
"107","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8072/3","Sq. cell carcinoma, lg. cell, non-ker.","8072"
"108","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8073/3","Sq. cell carcinoma, sm. cell, non-ker.","8073"
"109","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8074/3","Sq. cell carcinoma, spindle cell","8074"
"110","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8075/3","Squamous cell carcinoma, adenoid","8075"
"111","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8076/2","Sq. cell carc. in situ with question. stromal invas.","8076"
"112","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8076/3","Sq. cell carcinoma, micro-invasive","8076"
"113","C019-C024,C028-C029","TONGUE",807,"SQUAMOUS CELL CARCINOMA, NOS","8078/3","Squamous cell carcinoma with horn formation","8078"
"114","C019-C024,C028-C029","TONGUE",808,"LYMPHOEPITHELIAL CARCINOMA","8081/2","Bowen disease","8081"
"115","C019-C024,C028-C029","TONGUE",808,"LYMPHOEPITHELIAL CARCINOMA","8082/3","Lymphoepithelial carcinoma","8082"
"116","C019-C024,C028-C029","TONGUE",808,"LYMPHOEPITHELIAL CARCINOMA","8083/3","Basaloid squamous cell carcinoma","8083"
"117","C019-C024,C028-C029","TONGUE",808,"LYMPHOEPITHELIAL CARCINOMA","8084/3","Squamous cell carcinoma, clear cell type","8084"
"118","C019-C024,C028-C029","TONGUE",814,"ADENOCARCINOMA, NOS","8140/2","Adenocarcinoma in situ","8140"
"119","C019-C024,C028-C029","TONGUE",814,"ADENOCARCINOMA, NOS","8140/3","Adenocarcinoma, NOS","8140"
"120","C019-C024,C028-C029","TONGUE",814,"ADENOCARCINOMA, NOS","8141/3","Scirrhous adenocarcinoma","8141"
"121","C019-C024,C028-C029","TONGUE",814,"ADENOCARCINOMA, NOS","8143/3","Superficial spreading adenocarcinoma","8143"
"122","C019-C024,C028-C029","TONGUE",814,"ADENOCARCINOMA, NOS","8147/3","Basal cell adenocarcinoma","8147"
"123","C019-C024,C028-C029","TONGUE",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8200/3","Adenoid cystic carcinoma","8200"
"124","C019-C024,C028-C029","TONGUE",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/2","Cribriform carcinoma in situ","8201"
"125","C019-C024,C028-C029","TONGUE",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/3","Cribriform carcinoma","8201"
"126","C019-C024,C028-C029","TONGUE",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8255/3","Adenocarcinoma with mixed subtypes","8255"
"127","C019-C024,C028-C029","TONGUE",843,"MUCOEPIDERMOID CARCINOMA","8430/3","Mucoepidermoid carcinoma","8430"
"128","C019-C024,C028-C029","TONGUE",848,"MUCINOUS ADENOCARCINOMA","8480/3","Mucinous adenocarcinoma","8480"
"129","C019-C024,C028-C029","TONGUE",848,"MUCINOUS ADENOCARCINOMA","8481/3","Mucin-producing adenocarcinoma","8481"
"130","C019-C024,C028-C029","TONGUE",856,"ADENOSQUAMOUS CARCINOMA","8560/3","Adenosquamous carcinoma","8560"
"131","C019-C024,C028-C029","TONGUE",856,"ADENOSQUAMOUS CARCINOMA","8562/3","Epithelial-myoepithelial carcinoma","8562"
"132","C019-C024,C028-C029","TONGUE",857,"ADENOCA. WITH METAPLASIA","8570/3","Adenocarcinoma with squamous metaplasia","8570"
"133","C019-C024,C028-C029","TONGUE",857,"ADENOCA. WITH METAPLASIA","8571/3","Adenocarcinoma w cartilag. & oss. metaplas.","8571"
"134","C019-C024,C028-C029","TONGUE",857,"ADENOCA. WITH METAPLASIA","8572/3","Adenocarcinoma with spindle cell mataplasia","8572"
"135","C019-C024,C028-C029","TONGUE",857,"ADENOCA. WITH METAPLASIA","8573/3","Adenocarcinoma with apocrine metaplasia","8573"
"136","C019-C024,C028-C029","TONGUE",857,"ADENOCA. WITH METAPLASIA","8574/3","Adenocarcinoma with neuroendocrine differen.","8574"
"137","C019-C024,C028-C029","TONGUE",857,"ADENOCA. WITH METAPLASIA","8575/3","Metaplastic carcinoma, NOS","8575"
"138","C019-C024,C028-C029","TONGUE",872,"NEVI & MELANOMAS","8720/2","Melanoma in situ","8720"
"139","C019-C024,C028-C029","TONGUE",872,"NEVI & MELANOMAS","8720/3","Malignant melanoma, NOS","8720"
"140","C019-C024,C028-C029","TONGUE",872,"NEVI & MELANOMAS","8721/3","Nodular melanoma","8721"
"141","C019-C024,C028-C029","TONGUE",872,"NEVI & MELANOMAS","8722/3","Balloon cell melanoma","8722"
"142","C019-C024,C028-C029","TONGUE",872,"NEVI & MELANOMAS","8723/3","Malignant melanoma, regressing","8723"
"143","C019-C024,C028-C029","TONGUE",890,"RHABDOMYOSARCOMA, NOS","8900/3","Rhabdomyosarcoma, NOS","8900"
"144","C019-C024,C028-C029","TONGUE",890,"RHABDOMYOSARCOMA, NOS","8901/3","Pleomorphic rhabdomyosarcoma, adult type","8901"
"145","C019-C024,C028-C029","TONGUE",890,"RHABDOMYOSARCOMA, NOS","8902/3","Mixed type rhabdomyosarcoma","8902"
"146","C019-C024,C028-C029","TONGUE",891,"EMBRYONAL RHABDOMYOSARCOMA","8910/3","Embryonal rhabdomyosarcoma","8910"
"147","C019-C024,C028-C029","TONGUE",891,"EMBRYONAL RHABDOMYOSARCOMA","8912/3","Spindle cell rhabdomyosarcoma","8912"
"148","C019-C024,C028-C029","TONGUE",894,"MIXED TUMOR, MALIGNANT, NOS","8940/3","Mixed tumor, malignant, NOS","8940"
"149","C019-C024,C028-C029","TONGUE",894,"MIXED TUMOR, MALIGNANT, NOS","8941/3","Carcinoma in pleomorphic adenoma","8941"
"150","C019-C024,C028-C029","TONGUE",914,"KAPOSI SARCOMA","9140/3","Kaposi sarcoma","9140"
"151","C019-C024,C028-C029","TONGUE",959,"MALIGNANT LYMPHOMA, NOS","9590/3","Malignant lymphoma, NOS","9590"
"152","C019-C024,C028-C029","TONGUE",959,"MALIGNANT LYMPHOMA, NOS","9591/3","Malignant lymphoma, non-Hodgkin","9591"
"153","C019-C024,C028-C029","TONGUE",959,"MALIGNANT LYMPHOMA, NOS","9596/3","Composite Hodgkin and non-Hodgkin lymphoma","9596"
"154","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9650/3","Hodgkin lymphoma, NOS","9650"
"155","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9651/3","Hodgkin lymphoma, lymphocyte-rich","9651"
"156","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9652/3","Hodgkin lymphoma, mixed cellularity, NOS","9652"
"157","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9653/3","Hodgkin lymphoma, lymphocytic deplet., NOS","9653"
"158","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9654/3","Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis","9654"
"159","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9655/3","Hodgkin lymphoma, lymphocyt. deplet., reticular","9655"
"160","C019-C024,C028-C029","TONGUE",965,"HODGKIN LYMPHOMA","9659/3","Hodgkin lymph., nodular lymphocyte predom.","9659"
"161","C019-C024,C028-C029","TONGUE",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9661/3","Hodgkin granuloma [obs]","9661"
"162","C019-C024,C028-C029","TONGUE",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9662/3","Hodgkin sarcoma [obs]","9662"
"163","C019-C024,C028-C029","TONGUE",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","9663"
"164","C019-C024,C028-C029","TONGUE",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9664/3","Hodgkin lymphoma, nod. scler., cellular phase","9664"
"165","C019-C024,C028-C029","TONGUE",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9665/3","Hodgkin lymphoma, nod. scler., grade 1","9665"
"166","C019-C024,C028-C029","TONGUE",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9667/3","Hodgkin lymphoma, nod. scler., grade 2","9667"
"167","C019-C024,C028-C029","TONGUE",967,"ML, SMALL B-CELL LYMPHOCYTIC","9670/3","ML, small B lymphocytic, NOS","9670"
"168","C019-C024,C028-C029","TONGUE",967,"ML, SMALL B-CELL LYMPHOCYTIC","9671/3","ML, lymphoplasmacytic","9671"
"169","C019-C024,C028-C029","TONGUE",967,"ML, SMALL B-CELL LYMPHOCYTIC","9673/3","Mantle cell lymphoma","9673"
"170","C019-C024,C028-C029","TONGUE",967,"ML, SMALL B-CELL LYMPHOCYTIC","9675/3","ML, mixed sm. and lg. cell, diffuse","9675"
"171","C019-C024,C028-C029","TONGUE",968,"ML, LARGE B-CELL, DIFFUSE","9680/3","ML, large B-cell, diffuse","9680"
"172","C019-C024,C028-C029","TONGUE",968,"ML, LARGE B-CELL, DIFFUSE","9684/3","ML, large B-cell, diffuse, immunoblastic, NOS","9684"
"173","C019-C024,C028-C029","TONGUE",968,"ML, LARGE B-CELL, DIFFUSE","9687/3","Burkitt lymphoma, NOS","9687"
"174","C019-C024,C028-C029","TONGUE",968,"ML, LARGE B-CELL, DIFFUSE","9688/3","T-cell histiocyte rich large B-cell lymphoma","9688"
"175","C019-C024,C028-C029","TONGUE",969,"FOLLIC. & MARGINAL LYMPH, NOS","9690/3","Follicular lymphoma, NOS","9690"
"176","C019-C024,C028-C029","TONGUE",969,"FOLLIC. & MARGINAL LYMPH, NOS","9691/3","Follicular lymphoma, grade 2","9691"
"177","C019-C024,C028-C029","TONGUE",969,"FOLLIC. & MARGINAL LYMPH, NOS","9695/3","Follicular lymphoma, grade 1","9695"
"178","C019-C024,C028-C029","TONGUE",969,"FOLLIC. & MARGINAL LYMPH, NOS","9698/3","Follicular lymphoma, grade 3","9698"
"179","C019-C024,C028-C029","TONGUE",969,"FOLLIC. & MARGINAL LYMPH, NOS","9699/3","Marginal zone B-cell lymphoma, NOS","9699"
"180","C019-C024,C028-C029","TONGUE",970,"T-CELL LYMPHOMAS","9701/3","Sezary syndrome","9701"
"181","C019-C024,C028-C029","TONGUE",970,"T-CELL LYMPHOMAS","9702/3","Mature T-cell lymphoma, NOS","9702"
"182","C019-C024,C028-C029","TONGUE",970,"T-CELL LYMPHOMAS","9705/3","Angioimmunoblastic T-cell lymphoma","9705"
"183","C019-C024,C028-C029","TONGUE",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9712/3","Intravascular large B-cell lymphoma","9712"
"184","C019-C024,C028-C029","TONGUE",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9714/3","Anaplastic large cell lymphoma, T-cell and Null cell type","9714"
"185","C019-C024,C028-C029","TONGUE",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9719/3","NK/T-cell lymphoma, nasal and nasal-type","9719"
"186","C019-C024,C028-C029","TONGUE",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9724/3","SystemicEBV pos. T-cell lymphoproliferative disease of childhood","9724"
"187","C019-C024,C028-C029","TONGUE",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9727/3","Precursor cell lymphoblastic lymphoma, NOS","9727"
"188","C019-C024,C028-C029","TONGUE",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9728/3","Precursor B-cell lymphoblastic lymphoma","9728"
"189","C019-C024,C028-C029","TONGUE",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9729/3","Precursor T-cell lymphoblastic lymphoma","9729"
"190","C019-C024,C028-C029","TONGUE",973,"PLASMA CELL TUMORS","9731/3","Plasmacytoma, NOS","9731"
"191","C019-C024,C028-C029","TONGUE",973,"PLASMA CELL TUMORS","9734/3","Plasmacytoma, extramedullary","9734"
"192","C019-C024,C028-C029","TONGUE",973,"PLASMA CELL TUMORS","9735/3","Plasmablastic lymphoma","9735"
"193","C019-C024,C028-C029","TONGUE",973,"PLASMA CELL TUMORS","9737/3","ALK positive large B-cell lymphoma","9737"
"194","C019-C024,C028-C029","TONGUE",973,"PLASMA CELL TUMORS","9738/3","Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ","9738"
"195","C019-C024,C028-C029","TONGUE",974,"MAST CELL TUMORS","9740/3","Mast cell sarcoma","9740"
"196","C019-C024,C028-C029","TONGUE",974,"MAST CELL TUMORS","9741/3","Malignant mastocytosis","9741"
"197","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9750/3","Malignant histiocytosis","9750"
"198","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9751/3","Langerhans cell histiocytosis, NOS","9751"
"199","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9754/3","Langerhans cell histiocytosis, disseminated","9754"
"200","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9755/3","Histiocytic sarcoma","9755"
"201","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9756/3","Langerhans cell sarcoma","9756"
"202","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9757/3","Interdigitating dendritic cell sarcoma","9757"
"203","C019-C024,C028-C029","TONGUE",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9758/3","Follicular dendritic cell sarcoma","9758"
